Day,Month,Year,Hour,Weekend,National_holiday,Non_working_day
0,10,12,2024,0,False,False,False
1,10,12,2024,1,False,False,False
2,10,12,2024,2,False,False,False
3,10,12,2024,3,False,False,False
4,10,12,2024,4,False,False,False
5,10,12,2024,5,False,False,False
6,10,12,2024,6,False,False,False
7,10,12,2024,7,False,False,False
8,10,12,2024,8,False,False,False
9,10,12,2024,9,False,False,False
10,10,12,2024,10,False,False,False
11,10,12,2024,11,False,False,False
12,10,12,2024,12,False,False,False
13,10,12,2024,13,False,False,False
14,10,12,2024,14,False,False,False
15,10,12,2024,15,False,False,False
16,10,12,2024,16,False,False,False
17,10,12,2024,17,False,False,False
18,10,12,2024,18,False,False,False
19,10,12,2024,19,False,False,False
20,10,12,2024,20,False,False,False
21,10,12,2024,21,False,False,False
22,10,12,2024,22,False,False,False
23,10,12,2024,23,False,False,False
